FID IID PC1 PC2
ID1 ID1 0.0124917 -0.0282829
ID10 ID10 0.0117645 -0.0302763
ID100 ID100 0.0151429 -0.0308178
ID101 ID101 0.0129009 -0.0288236
ID102 ID102 0.0139802 -0.0303394
ID103 ID103 0.00535667 -0.0193136
ID104 ID104 0.160825 0.1106
ID105 ID105 0.0199579 -0.0388759
ID106 ID106 -0.0243647 0.0213595
ID107 ID107 0.0137706 -0.0335079
ID108 ID108 -0.0239883 0.0220619
ID109 ID109 -0.0219709 0.017256
ID11 ID11 -0.0252049 0.0210192
ID110 ID110 0.164566 0.114616
ID111 ID111 0.16156 0.11352
ID112 ID112 0.0167137 0.00265184
ID113 ID113 -0.02287 0.0215128
ID114 ID114 -0.0223006 0.019325
ID115 ID115 0.0140721 -0.0323327
ID116 ID116 -0.0240857 0.0204089
ID117 ID117 -0.0228452 0.0210086
ID118 ID118 0.0139744 -0.0333043
ID119 ID119 -0.0200469 0.014768
ID12 ID12 0.00859933 -0.0230657
ID120 ID120 0.0172775 -0.0326979
ID121 ID121 -0.0248339 0.0222572
ID122 ID122 -0.0221338 0.020772
ID123 ID123 0.16464 0.115984
ID124 ID124 0.0280206 -0.0407609
ID125 ID125 0.0191606 0.0438438
ID126 ID126 -0.0259001 0.0226073
ID127 ID127 0.0838383 0.0694431
ID128 ID128 0.0143334 -0.0310561
ID129 ID129 0.166166 0.113741
ID13 ID13 -0.0258462 0.0233223
ID130 ID130 -0.0232976 0.0201069
ID131 ID131 -0.0222601 0.0187068
ID132 ID132 0.022034 -0.0397606
ID133 ID133 0.0569314 0.060015
ID134 ID134 0.0153437 -0.0320018
ID135 ID135 -0.00736801 0.00125099
ID136 ID136 -0.0242859 0.0225929
ID137 ID137 0.00896451 -0.0237205
ID138 ID138 0.0075759 -0.0248079
ID139 ID139 0.0141026 -0.0303523
ID14 ID14 0.0126606 -0.0309165
ID140 ID140 -0.0246026 0.0221517
ID141 ID141 0.0126677 -0.0306715
ID142 ID142 -0.0226723 0.0210729
ID143 ID143 -0.0220362 0.0190144
ID144 ID144 0.00486079 -0.0208165
ID145 ID145 0.00526602 -0.0207934
ID146 ID146 -0.0248583 0.0208573
ID147 ID147 -0.0226255 0.0187668
ID148 ID148 -0.0191699 0.0152867
ID149 ID149 0.0651818 0.0624793
ID15 ID15 0.00612524 -0.0204811
ID150 ID150 -0.0236527 0.0202708
ID151 ID151 0.0139298 0.0235251
ID152 ID152 -0.0246369 0.0230125
ID153 ID153 -0.0247947 0.0226519
ID154 ID154 -0.0243489 0.0209429
ID155 ID155 0.0131472 -0.030993
ID156 ID156 0.0103699 -0.0281322
ID157 ID157 0.0130919 -0.0313352
ID158 ID158 -0.0245651 0.0220186
ID159 ID159 -0.0237987 0.0189556
ID16 ID16 -0.0230656 0.0214988
ID160 ID160 0.030001 -0.0414574
ID161 ID161 0.020535 -0.0345245
ID162 ID162 0.0275251 -0.0435125
ID163 ID163 -0.0226392 0.0222373
ID164 ID164 -0.0204376 0.0178707
ID165 ID165 -0.0228567 0.0220327
ID166 ID166 -0.0237007 0.0220192
ID167 ID167 -0.0230047 0.0203749
ID168 ID168 0.0264318 -0.0413921
ID169 ID169 0.0151299 -0.0319623
ID17 ID17 0.0138372 -0.0329374
ID170 ID170 -0.0244552 0.0198943
ID171 ID171 -0.00464527 0.00542721
ID172 ID172 0.0124055 -0.0298087
ID173 ID173 -0.0219821 0.0184499
ID174 ID174 -0.0243663 0.0217805
ID175 ID175 0.0146406 -0.030722
ID176 ID176 0.00891143 -0.0227954
ID177 ID177 0.161714 0.113518
ID178 ID178 0.0258038 -0.0397803
ID179 ID179 0.163566 0.115956
ID18 ID18 0.15984 0.110249
ID180 ID180 -0.0235579 0.022094
ID181 ID181 0.0138564 -0.0335907
